순번,조문,제목,시작페이지,종료페이지,방식,파일명
45,제45조,지붕 위에서의 위험 방지,33,33,card,045_제45조_지붕 위에서의 위험 방지.pdf
46,제46조,승강설비의 설치,34,34,card,046_제46조_승강설비의 설치.pdf
47,제47조,구명구 등,34,34,card,047_제47조_구명구 등.pdf
48,제48조,울타리의 설치,34,34,card,048_제48조_울타리의 설치.pdf
49,제49조,조명의 유지,34,34,card,049_제49조_조명의 유지.pdf
50,제50조,토사등에 의한 위험 방지,35,35,card,050_제50조_토사등에 의한 위험 방지.pdf
51,제51조,구축물등의 안전 유지,35,35,card,051_제51조_구축물등의 안전 유지.pdf
52,제52조,구축물등의 안전성 평가,35,35,card,052_제52조_구축물등의 안전성 평가.pdf
53,제53조,계측장치의 설치 등,36,36,card,053_제53조_계측장치의 설치 등.pdf
54,제54조,비계의 재료,38,38,card,054_제54조_비계의 재료.pdf
55,제55조,작업발판의 최대적재하중,38,38,card,055_제55조_작업발판의 최대적재하중.pdf
56,제56조,작업발판의 구조,38,38,card,056_제56조_작업발판의 구조.pdf
57,제57조,비계 등의 조립·해체 및 변경,39,39,card,057_제57조_비계 등의 조립·해체 및 변경.pdf
58,제58조,비계의 점검 및 보수,41,41,card,058_제58조_비계의 점검 및 보수.pdf
59,제59조,강관비계 조립 시의 준수사항,41,41,card,059_제59조_강관비계 조립 시의 준수사항.pdf
60,제60조,강관비계의 구조,42,42,card,060_제60조_강관비계의 구조.pdf
61,제61조,강관의 강도 식별,42,42,card,061_제61조_강관의 강도 식별.pdf
62,제62조,강관틀비계,43,43,card,062_제62조_강관틀비계.pdf
63,제63조,달비계의 구조,43,43,card,063_제63조_달비계의 구조.pdf
64,제64조,달비계의 점검 및 보수,45,45,card,064_제64조_달비계의 점검 및 보수.pdf
65,제65조,달대비계,45,45,card,065_제65조_달대비계.pdf
